Ri	Rm	Cm	Rmy	Cmy	rpa	parafact	Cpip	error-soma.v(0.5)	error-axon[28].v(0.5)	error-total	tol
10 12
1.43730095198e+00	1.24629812164e+01	2.43213441091e+00	3.43080293443e+00	2.65580721200e+01	1.25430250805e+00	1.56472594425e+00	5.97751750346e+00	7.00552670000e-04	8.01624420000e-04	1.50217710000e-03	1.47643370000e-03	
1.45513505736e+00	1.28094910139e+01	2.48591144102e+00	3.35735125394e+00	1.06981846806e+01	1.32005234368e+00	1.13617580733e+00	8.29288429742e+00	6.84293270000e-04	7.92416540000e-04	1.47670980000e-03	1.17115530000e-03	
1.32347258241e+00	1.20178276469e+01	2.41900199846e+00	5.19698046972e+00	3.47639354377e+01	1.52499733630e+00	1.91032614626e+00	9.64551178266e+02	7.80811430000e-04	1.25410110000e-03	2.03491250000e-03	1.16796220000e-03	
1.35493591232e+00	1.24738870250e+01	2.35135035807e+00	2.24233546244e+00	2.95341980649e+01	2.26168735423e+00	1.26903090427e+01	9.99809828363e+02	6.72069800000e-04	8.70431330000e-04	1.54250110000e-03	1.19596480000e-03	
1.20180194648e+00	1.32010862403e+01	2.44594150001e+00	3.27440549159e+00	2.47923255509e+01	1.46689919476e+00	2.65302818946e+00	9.81120969109e+02	9.09279870000e-04	1.43222300000e-03	2.34150290000e-03	1.27690180000e-03	
1.40572798163e+00	1.21407051362e+01	2.44943859232e+00	2.05004308555e+00	1.97140715088e+01	2.01105757672e+00	1.75654235403e+00	8.00504155546e+01	6.01582570000e-04	7.46814090000e-04	1.34839670000e-03	1.13598490000e-03	
1.69295705151e+00	1.21211720245e+01	2.53358351513e+00	4.79164523961e+00	3.26133587650e+01	1.44679133752e+00	2.63522330737e+00	5.67190072616e+01	7.01039200000e-04	8.15728740000e-04	1.51676790000e-03	1.38448900000e-03	
1.52559157957e+00	1.20759031768e+01	2.51546565692e+00	1.13877247575e+00	1.34075709142e+00	1.55451684632e+00	2.33359062281e+00	9.17504307367e+02	7.49566740000e-04	8.66564020000e-04	1.61613080000e-03	1.20222180000e-03	
1.42461538291e+00	1.24128816850e+01	2.45410343411e+00	3.18529205163e+00	2.25018629024e+01	1.60503806220e+00	3.33499017678e+00	5.01753263465e+02	7.24899443750e-04	9.47487905000e-04	1.67238735000e-03	1.25138918750e-03	
5.14752842366e-02	1.47211813086e-01	2.04657712014e-02	4.83500660038e-01	4.05023050755e+00	1.23444298545e-01	1.34940015236e+00	1.75767200780e+02	3.23319081325e-05	8.90846203532e-05	1.19195512280e-04	4.25139618524e-05	
